読破日付,作者,タイトル,評価,読破日数,雑感
2017/12/12,村上春樹,色彩を持たない多崎つくると、彼の巡礼の年 (文春文庫),☆8,1日,終わり方が曖昧で不満だったから、考察サイト読み耽ったらまさかの推理小説で村上春樹やるなってなった。
2017/12/11,乾くるみ,イニシエーション・ラブ (文春文庫),☆8,1日,最後の２行でストーリーが全く別物になる展開は熱い。
